Names,OpenAlex ID,Orcid ID
Gabrielle Adams,,
Nafisa Ahmed,,
Sonia Alconini,,
Negin Alemazkoor,,
Harsh Anand,,
Elizabeth Andrews,,
Anthony Artuso,,
Mary Asare-Ado,,
Ehsan Baharlou,,
Teagan Baiotto,,
Cora Baird,,
Prasanna Balachandran,,
Ray Balkrishnan,,
Lawrence Band,,
Ellen Bassett,,
Tim Beatley,,
Jeffrey Bennett,,
Peter Berg,,
Emily Bernhardt,,
Alice Besterman,,
Lori Bird,,
Shannon Blevins,,
Swatah Borkotoky,,
Hanne Borstlap,,
Allison Bradshaw,,
Jeanine Braithwaite,,
JD Brown,,
Kelly Bulin,,
Mark Buntaine,,
Matthew Burtner,,
Dawn Byrd,,
Liheng Cai,,
Brad Campbell,,
Jonathan Cannon,,
Brad Cantrell,,
Kerrie Carfagno,,
Ann Carlton,,
Kathy Carmody,,
Sergio Casas,,
Max Castorani,,
Dong Chen,,
Donna Chen,,
Leena Cho,,
Michele Claibourn,,
Andres Clarens,,
Tanya Cobb,,
Ronald Cohen,,
Jonathan Colmer,,
Lisa Colosi,,
Josh Colston,,
Ben Converse,,
Nina Copeland,,
Sheila Crane,,
Phoebe Crisman,,
Teresa Culver,,
Paolo D'Odorico,,
Robert Davis,,
Brian Davis,,
Peter Debaere,,
Cahterine Debbas,,
Pam DeGuzman,,
Ryan Denker,,
Rebecca Dillingham,,
Lise Dobrin,,
Tim Dodson,,
Scott Doney,,
Karen Downing,,
Kateri Dubay,,
Frank Dukes,,
Aleksandra Durova,,
Andre Elliot,,
Kyle Enfield,,
William Epling,,
Howard Epstein,,
Bevin Etienne,,
Bin Fang,,
Chloe Fauvel,,
Aissatou Faye,,
Joao Fereirra,,
Sean Ferguson,,
Kim Fields,,
Charles Fish ,,
Daniel Fishkin,,
Jonah Fogel,,
MC Forelle,,
Alex Foxworthy,,
Cassandra Fraser,,
Jay Fuhrman,,
Kirsten Gelsdorf,,
Adrienne Ghaly,,
Gaurav Giri,,
Sierra Gladfelter,,
Joshua Goldstein,,
Jonathan Goodall,,
Michael Gorman,,
Christopher Goyne,,
Fiona Greenland,,
Claire Griffin,,
Kevin Grise,,
Mool Gupta,,
Dat Ha,,
Jennifer Hadayia,,
Martien Halvorsen-Taylor,,
Devin Harris,,
Tom Hartvigsen,,
Arsalan Heydarian,,
Mar Hicks,,
Bruce Holsinger,,
Stefan Hoops,,
Guoping Huang,,
Ryan Huish,,
Omoanghe Isikhuemhen,,
Mohamed Ismail,,
Parisa Javadi,,
Willis Jenkins,,
Kelsey Johnson,,
Della Jordan,,
Matthew Jull,,
Andrew Kahrl,,
Hyojung Kang,,
Kamair Khayambashi,,
April Kim,,
Rachel Kinzer,,
Leidy Klotz,,
Janelle Knox-Hayes,,
Gary Koenig,,
Margaret Kosek,,
Luke Kreider,,
Sharon Ku,,
Venkataraman Lakshmi,,
Deborah Lawrence,,
David Leblang,,
Manuel Lerdau,,
Ajay Limaye,,
Erik Linstrum,,
Eric Loth,,
Garrick Louis,,
Boyang Lu ,,
Christopher Luna-Mega,,
Katie MacDonald,,
Christine Mahoney,,
Antonios Mamalakis,,
Dayna Matthew,,
Karen McGlathery,,
Zihan Mei,,
Beth Mitchell,,
Christina Mobley,,
Andrew Mondschein,,
Henning Mortveit,,
Balashankar Mulloth,,
N/A N/A,,
Chris Neale,,
Wendy Novicoff,,
Charity Nyelele,,
Moira O'Neill,,
Osman Osbulut,,
Michael Pace,,
Sonal Pandya,,
Brian Park,,
Maryfrances Porter,,
Shreekar Pradhan,,
Sally Pusede,,
Erin Putalink,,
Julianne Quinn,,
Daniel Quinn,,
Mani Rad,,
Daniel Rau,,
Jess Reia,,
Matthew Reidenbach,,
Terrence Rephann,,
Brian Richter,,
Beth Roach,,
Jenny Roe,,
Charlotte Rogers,,
Robert Sabbatini,,
Nafiseh Salehi,,
Marisa Sanchez,,
Kurtis Schaeffer,,
Kathleen Schiro,,
Sheetal Sekhri,,
Majid Shafiee-Jood,,
Victoria Shen,,
Jay Shimshack,,
Bill Shobe,,
Jorg Sieweke,,
Lauren Simkins,,
Udayan Singh,,
Kellen Singleton,,
Michael Skrutskie,,
Donna Smith,,
Jim Smith,,
Min-Woong Sohn,,
Mircea Stan,,
Eli Stine,,
Logan Stundal,,
Samarth Swarup,,
Leon Szeptycki,,
Katherine Tarrant,,
Ozlem Tasci,,
Martin Volaric,,
Charles Vorosmarty,,
Alex Wall,,
Mark White,,
Kamin Whitehouse,,
Patricia Wiberg,,
Bev Wilson,,
Barbara Wilson,,
Brantly Womack,,
Xi Yang,,
Fangfang Yao,,
Shan Yu,,
Wie Yusuf,,
Madeleine Zahn,,
Sen Zhang,,
Yulu Zhang,,
Ruoyu Zhang,,
Ruijie Zhu,,